Brand,Screen_Size,Ram,Rating,OS_Family_Other,OS_Family_Windows,OS_Family_macOS,Disk_GB,CPU_Vendor,CPU_Family,CPU_Class,CPU_Arch,Price
HP,15.6,8,4.4,False,True,False,256.0,Intel,i5,Mobile-U/G,x86,447.99
Acer,14.0,16,4.3,False,True,False,512.0,Intel,i7,Desktop/Unknown,x86,764.0
MSI,14.0,16,4.5,False,True,False,512.0,Intel,i5,Desktop/Unknown,x86,1099.0
GIGABYTE,15.6,32,3.8,False,True,False,512.0,Intel,i5,Desktop/Unknown,x86,796.55
Alienware,17.3,16,4.1,False,True,False,512.0,Unknown,i7,Other,x86,2999.0
LG,16.0,16,4.3,False,True,False,512.0,Intel,i7,Desktop/Unknown,x86,1199.99
SAMSUNG,11.6,4,4.4,False,False,False,16.0,Intel,Celeron,Desktop/Unknown,x86,67.98
ASUS,15.6,4,4.0,False,True,False,512.0,Intel,Celeron,Desktop/Unknown,x86,219.99
Toughbook,10.1,4,3.1,False,True,False,320.0,Intel,i5,Desktop/Unknown,x86,599.99
EXCaliberPC,17.3,16,5.0,False,True,False,512.0,Intel,i7,Desktop/Unknown,x86,1299.0
Fusion5,14.1,4,4.0,False,True,False,64.0,Intel,Celeron,Desktop/Unknown,x86,274.95
Acer,14.0,16,4.4,False,True,False,1024.0,AMD,Ryzen7,Other,x86,949.0
Microsoft,12.4,8,4.2,False,True,False,128.0,Intel,i5,Mobile-U/G,x86,419.0
MSI,15.6,16,4.1,False,True,False,1024.0,Intel,i5,Desktop/Unknown,x86,699.99
HP,14.0,16,4.5,False,True,False,128.0,AMD,Ryzen3,Other,x86,429.99
Microsoft,15.0,8,4.4,False,True,False,128.0,AMD,Ryzen5,Other,x86,450.0
Dell,15.6,16,5.0,False,True,False,1024.0,Intel,i5,Desktop/Unknown,x86,609.0
HP,15.6,16,5.0,False,True,False,1024.0,Intel,i5,Desktop/Unknown,x86,589.99
GIGABYTE,14.0,16,3.4,False,True,False,512.0,Intel,i5,Desktop/Unknown,x86,879.2
ASUS,15.6,16,4.5,False,True,False,512.0,Intel,i7,Desktop/Unknown,x86,1289.0
Alienware,15.6,16,4.4,False,True,False,512.0,Intel,i7,Desktop/Unknown,x86,1549.95
Dell,15.6,8,4.4,False,True,False,128.0,Intel,Celeron,Desktop/Unknown,x86,375.0
Dell,15.6,8,4.3,False,True,False,256.0,Intel,i5,Desktop/Unknown,x86,999.99
ASUS,14.0,4,4.3,False,True,False,64.0,Intel,Celeron,Desktop/Unknown,x86,173.98
HP,14.0,8,4.3,False,True,False,64.0,AMD,Athlon,Other,x86,399.0
HP,14.0,8,4.3,False,True,False,64.0,Intel,Celeron,Desktop/Unknown,x86,349.99
HP,15.6,16,4.4,False,True,False,512.0,AMD,Ryzen7,Other,x86,667.49
HP,14.0,8,4.2,False,True,False,64.0,Intel,Celeron,Desktop/Unknown,x86,339.0
MSI,17.3,64,4.5,False,True,False,512.0,Intel,i9,Desktop/Unknown,x86,4399.0
Broage,15.6,4,4.0,False,True,False,64.0,Intel,Celeron,Desktop/Unknown,x86,149.0
Acer,15.6,20,3.9,False,True,False,512.0,Intel,i3,Desktop/Unknown,x86,469.0
EXCaliberPC,17.3,128,5.0,False,True,False,6144.0,Intel,i9,Desktop/Unknown,x86,6089.0
Best Notebooks,15.0,16,5.0,False,True,False,1024.0,Intel,i7,Desktop/Unknown,x86,2399.0
GIGABYTE,17.0,6,4.0,True,False,False,512.0,Intel,i7,Desktop/Unknown,x86,1999.0
HP,14.0,4,4.5,False,True,False,64.0,Intel,Celeron,Desktop/Unknown,x86,319.99
Acer,14.0,4,4.3,False,False,False,32.0,Intel,Celeron,Desktop/Unknown,x86,212.8
LG,16.0,16,4.3,False,True,False,1024.0,Intel,i7,Desktop/Unknown,x86,2072.8
Microsoft,12.4,4,4.8,False,True,False,128.0,Intel,i5,Desktop/Unknown,x86,299.99
SAMSUNG,12.1,2,3.0,False,False,False,16.0,Intel,Atom,Desktop/Unknown,x86,79.0
ASUS,14.0,4,4.4,False,True,False,128.0,Intel,i3,Desktop/Unknown,x86,248.0
Acer,15.6,16,5.0,False,True,False,512.0,Intel,i7,Desktop/Unknown,x86,649.99
